slug;name;letter;category;teaser;body;example;synonyms;related;source
accelerator-beschleuniger;Accelerator (Beschleuniger);A;Technik & Daten;Spezialisierte Hardware wie GPU oder TPU, die KI-Berechnungen durch massive Parallelverarbeitung beschleunigt.;"KI-Acceleratoren sind spezialisierte Hardwarelösungen, die darauf ausgelegt sind, die
Rechenleistung für KI-Anwendungen zu maximieren. Sie sind besonders effektiv bei der
Verarbeitung paralleler Aufgaben wie der Berechnung von neuronalen Netzwerken oder der
Analyse großer Datenmengen.

Beispiele für KI-Acceleratoren: GPU (Graphics Processing Unit) – vielseitig einsetzbar; TPU
(Tensor Processing Unit) – von Google speziell für maschinelles Lernen entwickelt; FPGA
(Field Programmable Gate Array) – flexibel programmierbar; ASIC (Application-Specific
Integrated Circuit) – hochspezialisierte Chips für spezifische KI-Aufgaben.

Acceleratoren nutzen massive Parallelverarbeitung und sind für Matrizenoperationen
optimiert, die den Kern von KI-Berechnungen bilden. Im Gegensatz zu traditionellen CPUs
fokussieren sich Acceleratoren auf die parallele Verarbeitung und erzielen dadurch erhebliche
Geschwindigkeitsvorteile beim Training und Betrieb von KI-Modellen.";Ein Unternehmen mietet für das Training eines eigenen Modells GPU-Kapazität in der Cloud, statt teure Hardware selbst zu kaufen.;"[""Accelerator"",""Beschleuniger"",""KI-Beschleuniger"",""Hardwarebeschleuniger"",""AI Accelerator""]";"[""gpu-grafikprozessor"",""tpu"",""deep-learning"",""inference-inferenz""]";https://ki-manager-methoden.lovable.app/glossar
actionable-intelligence-verwertbare-intelligenz;Actionable Intelligence (Verwertbare Intelligenz);A;Management & Strategie;Aus Daten gewonnene Erkenntnisse, die unmittelbar in konkrete Entscheidungen und Handlungen umgesetzt werden können.;"Actionable Intelligence beschreibt Daten und Informationen, die so analysiert und aufbereitet
sind, dass sie sofort als Grundlage für Entscheidungen und Handlungen dienen können. Im
Gegensatz zu Rohdaten sind diese Informationen präzise, relevant und direkt umsetzbar.

Eigenschaften: Präzision (basiert auf genauen, überprüfbaren Daten), Relevanz (nur
aufgabenrelevante Informationen), direkte Umsetzbarkeit (konkret formulierte Erkenntnisse).
Der Entstehungsprozess umfasst Datengewinnung, -bereinigung, -analyse,
Kontextualisierung sowie Visualisierung und Berichterstattung.

Actionable Intelligence ermöglicht schnellere Entscheidungen, verschafft Unternehmen
Wettbewerbsvorteile, steigert die Effizienz durch gezielten Ressourceneinsatz und verbessert
die Kundenzentrierung durch bessere Einblicke in Kundenbedürfnisse.";Ein Dashboard meldet nicht nur sinkende Verkaufszahlen, sondern empfiehlt konkret, in welcher Region das Marketingbudget erhöht werden sollte.;"[""Actionable Intelligence"",""Verwertbare Intelligenz"",""handlungsrelevante Erkenntnisse"",""Actionable Insights""]";"[""datengetriebene-entscheidungen"",""predictive-analytics"",""kpi-key-performance-indicator"",""wertschoepfung-durch-ki""]";https://ki-manager-methoden.lovable.app/glossar
adobe-firefly;Adobe Firefly;A;Tools & Anwendungen;Bildgenerierungstool von Adobe, das kommerziell nutzbare KI-Bilder erzeugt.;Bildgenerierungstool von Adobe, das kommerziell nutzbare KI-Bilder erzeugt.;Eine Marketingabteilung erstellt mit Adobe Firefly lizenzsichere Illustrationen für eine Kampagne.;"[""Firefly"",""Adobe Firefly""]";"[""midjourney"",""dall-e"",""stable-diffusion"",""urheberrecht-bei-ki-bildern""]";
anomalieerkennung;Anomalieerkennung;A;Tools & Anwendungen;KI-Anwendung, die ungewöhnliches System- oder Datenverhalten erkennt.;KI-Anwendung, die ungewöhnliches System- oder Datenverhalten erkennt.;Ein System erkennt ungewöhnliche Login-Muster außerhalb der Arbeitszeiten und meldet einen möglichen Angriff.;"[""Anomalieerkennung"",""Anomaly Detection"",""Ausreißererkennung"",""Abweichungserkennung""]";"[""mustererkennung"",""betrugserkennung"",""predictive-maintenance"",""sensordaten""]";
accuracy-genauigkeit;Accuracy (Genauigkeit);A;Technik & Daten;Kennzahl der Modellgüte, die den Anteil korrekter Vorhersagen an allen Fällen angibt.;"Accuracy ist ein Leistungsmaß, das angibt, wie viele Vorhersagen oder Entscheidungen eines
KI-Modells korrekt sind. Es wird als Prozentsatz der richtig klassifizierten Ergebnisse im
Verhältnis zur Gesamtanzahl der Fälle ausgedrückt.

Formel: Accuracy = Anzahl der richtigen Vorhersagen / Gesamtanzahl der Vorhersagen. Ein
Modell, das 100 Fälle verarbeitet und davon 90 korrekt vorhersagt, hat eine Accuracy von 90
%.

Accuracy ist wichtig für die Bewertung der Modellleistung, den Vergleich von Modellen und als
Entscheidungsgrundlage in sensiblen Bereichen wie Medizin oder autonomem Fahren.
Allerdings ist sie allein nicht ausreichend – bei unbalancierten Datensätzen können
ergänzende Metriken wie Precision, Recall und F-Score sinnvoller sein.";Ein Betrugserkennungsmodell hat 99 Prozent Accuracy, erkennt aber kaum echte Betrugsfälle, weil diese nur ein Prozent der Daten ausmachen.;"[""Accuracy"",""Genauigkeit"",""Trefferquote"",""Klassifikationsgenauigkeit""]";"[""f-score"",""konfidenzwert"",""scoring""]";https://ki-manager-methoden.lovable.app/glossar/accuracy-genauigkeit
agenten;Agenten;A;KI-Grundlagen;Ein KI-Agent ist eine Einheit, die in einer Umgebung agiert, um bestimmte Ziele zu erreichen. Sie nimmt Informationen aus der Umgebung auf (Wahrnehmung), ver...;"Ein KI-Agent ist eine Einheit, die in einer Umgebung agiert, um bestimmte Ziele zu erreichen. Sie nimmt Informationen aus der Umgebung auf (Wahrnehmung), verarbeitet diese und führt darauf basierend Aktionen aus. Agenten können autonom arbeiten und Entscheidungen ohne menschliches Eingreifen treffen.

Arten von Agenten: Reaktive Agenten (reagieren direkt auf Wahrnehmungen), Modellbasierte Agenten (nutzen internes Weltmodell), Zielgerichtete Agenten (arbeiten auf ein Ziel hin), Utility-basierte Agenten (optimieren basierend auf einer Nutzenfunktion), Lernende Agenten (verbessern sich durch Erfahrungen).

Agenten folgen dem Wahrnehmungs-Aktions-Zyklus: Wahrnehmung → Verarbeitung → Aktion → Lernen. Anwendungsbereiche umfassen autonome Fahrzeuge, Chatbots, Robotertechnik und Spieleagenten wie AlphaGo.";;[];[];
agentisches-verhalten;Agentisches Verhalten;A;KI-Grundlagen;Selbstständiges Koordinieren mehrerer voneinander abhängiger Schritte durch die KI statt Ausführung einer Einzelaufgabe.;Selbstständiges Koordinieren mehrerer voneinander abhängiger Schritte durch die KI statt Ausführung einer Einzelaufgabe.;Statt nur eine E-Mail zu formulieren, plant ein Agent selbstständig die Terminabfrage, prüft den Kalender und versendet Einladungen.;"[""agentisches Verhalten"",""Agentic Behavior"",""agentenhaftes Verhalten"",""Agency""]";"[""ki-agent"",""tool-vs-agent"",""autonomie-agent"",""orchestrierung""]";
ai-slop;AI Slop;A;KI-Grundlagen;Massenhaft erzeugte, minderwertige KI-Inhalte ohne echten Mehrwert, die Informationskanäle überfluten.;"AI Slop (zu Deutsch: KI-Müll oder KI-Abfall) bezeichnet minderwertige, massenproduzierte Inhalte, die von Künstlicher Intelligenz generiert wurden und wenig bis keinen echten Mehrwert bieten. Typische Merkmale sind geringe Qualität, Massenproduktion, fehlender Mehrwert, repetitive Formulierungen sowie fehlende menschliche Perspektive.

AI Slop entsteht durch massenhaften, unreflektierten Einsatz von KI-Textgeneratoren und Bild-Tools (Content-Farming, automatisierte Social-Media-Posts, KI-generierte Bilder ohne Qualitätskontrolle, Clickbait). Es findet sich in Blogs, Social Media, E-Commerce, Nachrichten-Websites und Video-Plattformen.

Die Verbreitung von AI Slop untergräbt die Informationsqualität im Internet, fördert Desinformation und senkt das Vertrauen in digitale Inhalte. Gegenmaßnahmen sind redaktionelle Standards, Faktencheck und menschliche Überarbeitung KI-generierter Inhalte.";Ein Unternehmen veröffentlicht ungeprüfte KI-Blogtexte in großer Menge und verliert dadurch an Glaubwürdigkeit bei Kunden.;"[""AI Slop"",""KI-Müll"",""KI-Schrott"",""KI-Datenmüll"",""Slop""]";"[""halluzination"",""redaktionelle-pflicht"",""kennzeichnungspflicht-ki-inhalte"",""datenqualitaet""]";https://ki-manager-methoden.lovable.app/glossar
alignment-ausrichtung;Alignment (Ausrichtung);A;KI-Grundlagen;Das Angleichen von KI-Verhalten an menschliche Werte, Absichten und Ziele.;"Alignment beschreibt den Prozess, KI-Systeme so zu gestalten, dass ihre Ziele, Handlungen und Entscheidungen mit den Werten und Absichten der Menschen übereinstimmen. Es

umfasst drei Aspekte: Zielausrichtung (richtige Ziele verfolgen), Verhaltenskontrolle (akzeptabler Rahmen) und Verständlichkeit (nachvollziehbare Entscheidungen).

Herausforderungen beim Alignment: Unklarheit menschlicher Werte (subjektiv und kulturell unterschiedlich), Komplexität von KI-Systemen, Verhaltensdrift durch Lernprozesse, Kommunikationslücke (KI-Entscheidungen als Black Box).

Ansätze: Zielbasierte Optimierung, Reinforcement Learning with Human Feedback (RLHF), Ethik-Frameworks, simulierte Testszenarien und Erklärbare KI (XAI). Alignment ist besonders wichtig für fortgeschrittene Systeme wie AGI, um Risiken zu minimieren.";Ein Sprachmodell wird per RLHF so trainiert, dass es gefährliche Anfragen ablehnt statt sie zu beantworten.;"[""Alignment"",""Ausrichtung"",""KI-Alignment"",""AI Alignment"",""Wertausrichtung""]";"[""rlhf"",""ki-ethik"",""guardrails-leitplanken"",""reinforcement-learning""]";https://ki-manager-methoden.lovable.app/glossar
beautiful-ai;Beautiful.ai;B;Tools & Anwendungen;KI-gestütztes Präsentationstool zur automatisierten Erstellung von Foliendesigns.;KI-gestütztes Präsentationstool zur automatisierten Erstellung von Foliendesigns.;Ein Mitarbeiter erstellt mit Beautiful.ai in kurzer Zeit eine gestaltete Präsentation aus Stichpunkten.;"[""Beautiful.ai"",""Beautiful AI"",""BeautifulAI""]";"[""gamma"",""canva"",""napkin-ai""]";
amortisationszeitraum;Amortisationszeitraum;A;Management & Strategie;"Zeitspanne, bis sich eine KI-Investition durch den erzielten Nutzen bezahlt gemacht hat; realistisch meist 12 bis 36 Monate.";"Zeitspanne, bis sich eine KI-Investition durch den erzielten Nutzen bezahlt gemacht hat; realistisch meist 12 bis 36 Monate.";Ein KI-Dokumentenprüfsystem kostet 60.000 Euro und spart jährlich 25.000 Euro, sodass es sich nach rund 2,5 Jahren amortisiert.;"[""Amortisationszeitraum"",""Amortisationszeit"",""Payback-Periode"",""Amortisationsdauer"",""Kapitalrückflusszeit""]";"[""roi-return-on-investment"",""break-even-point"",""kosten-nutzen-abwaegung"",""opportunitaetskosten""]";
analyse-und-prognose-tools;Analyse- und Prognose-Tools;A;KI-Grundlagen;KI-Kategorie, die vorhandene Daten auswertet und Vorhersagen erstellt, etwa für Nachfrage, Kreditrisiko oder Qualität.;KI-Kategorie, die vorhandene Daten auswertet und Vorhersagen erstellt, etwa für Nachfrage, Kreditrisiko oder Qualität.;Ein Handelsunternehmen prognostiziert mit einem Analyse-Tool die Nachfrage je Filiale, um Lagerbestände zu optimieren.;"[""Analyse- und Prognose-Tools"",""Analyse und Prognose Tools"",""Analysetools"",""Prognosetools"",""Predictive Tools""]";"[""predictive-analytics"",""nachfrageprognose"",""predictive-ai-prozess-ki"",""generative-ki""]";
anaphor;Anaphor;A;Technik & Daten;Sprachliches Rückverweiswort wie er oder dieses, dessen korrekte Auflösung für das maschinelle Textverständnis zentral ist.;"Eine Anaphor ist ein sprachlicher Verweis, der sich auf ein zuvor erwähntes Element im Text oder Gespräch bezieht. Das Element, auf das verwiesen wird, nennt man „Bezugsobjekt"" oder „Antezedens"". Beispiel: „Lisa hat ein Buch gekauft. Sie liest es gerne."" – „Sie"" verweist auf Lisa, „es"" auf das Buch.

Für KI-Systeme stellt die Anaphorauflösung eine komplexe Herausforderung dar: Mehrdeutigkeit (ein Pronomen kann auf mehrere Objekte verweisen), Kontextabhängigkeit, komplexe Satzstrukturen und sprachspezifische grammatikalische Regeln (wie Genus im Deutschen).

KI-Methoden zur Anaphorauflösung: regelbasiertes Parsing, statistische Modelle, neuronale Netzwerke. Korrekte Anaphorverarbeitung ist entscheidend für Textverständnis, maschinelle Übersetzung und Chatbots.";"Im Satz ""Der Kunde rief an, weil er unzufrieden war"" muss das System ""er"" korrekt dem Kunden zuordnen.";"[""Anaphor"",""Anapher"",""Rückverweiswort"",""Koreferenz""]";"[""natural-language-processing"",""attention-aufmerksamkeit"",""entitaet"",""large-language-model-grosses-sprachmodell""]";https://ki-manager-methoden.lovable.app/glossar
anbieter-provider;Anbieter (Provider);A;Recht & Regulatorik;"Rolle im EU AI Act für denjenigen, der ein KI-System entwickelt und auf den Markt bringt; sie trägt die umfangreichsten Pflichten.";"Rolle im EU AI Act für denjenigen, der ein KI-System entwickelt und auf den Markt bringt; sie trägt die umfangreichsten Pflichten.";Ein Softwarehaus, das eine eigene KI-Bewerbungssoftware entwickelt und verkauft, ist Anbieter und muss die volle Dokumentation liefern.;"[""Anbieter"",""Provider"",""Anbieterrolle"",""Hersteller"",""Inverkehrbringer""]";"[""betreiber-deployer"",""anbieter-vs-betreiber"",""eu-ai-act-artikel-4"",""konformitaetsbewertung"",""technische-dokumentation""]";
anbieter-vs-betreiber;Anbieter vs. Betreiber;A;Recht & Regulatorik;Rollenunterscheidung im EU AI Act, aus der sich der jeweilige Pflichtenkatalog ableitet.;Rollenunterscheidung im EU AI Act, aus der sich der jeweilige Pflichtenkatalog ableitet.;"Ein Unternehmen, das ChatGPT Business nutzt, ist Betreiber; OpenAI als Entwickler ist Anbieter.";"[""Anbieter vs. Betreiber"",""Anbieter und Betreiber"",""Provider vs. Deployer"",""Rollen im EU AI Act""]";"[""anbieter-provider"",""betreiber-deployer"",""eu-ai-act-artikel-4"",""regulatorische-verantwortung-nicht-auslagerbar"",""hochrisiko-ki-system""]";
annotation-annotierung;Annotation (Annotierung);A;Technik & Daten;Das manuelle oder halbautomatische Kennzeichnen von Trainingsdaten mit Labels, damit ein Modell daraus lernen kann.;"Annotation (Datenbeschriftung) beschreibt den Prozess, Rohdaten mit Zusatzinformationen (Labels) zu versehen, die für maschinelles Lernen relevant sind. Sie bildet die Grundlage für das Training von KI-Modellen, da ohne beschriftete Daten kein Modell Muster erkennen oder Entscheidungen treffen kann.

Arten von Annotation: Textannotation (für Sentiment-Analyse, NER, Übersetzung), Bildannotation (für Objekterkennung, Gesichtserkennung), Audioannotation (für Sprachassistenten), Videoannotation (für autonomes Fahren), Sensorannotation (für IoT). Bekannte Tools: Labelbox, SuperAnnotate, AWS SageMaker Ground Truth.

Der Annotierungsprozess umfasst Datenvorbereitung, Beschriftung (manuell oder KI-gestützt), Qualitätskontrolle und Feedback-Schleifen zur Verfeinerung.";Mitarbeitende markieren auf tausenden Fotos die Position von Defekten, damit ein Modell die Qualitätskontrolle lernt.;"[""Annotation"",""Annotierung"",""Labeling"",""Datenkennzeichnung"",""Data Labeling""]";"[""trainingsdaten"",""ueberwachtes-lernen"",""fehlende-labels"",""datenqualitaet"",""garbage-in-garbage-out""]";https://ki-manager-methoden.lovable.app/glossar
anforderungsprofil;Anforderungsprofil;A;Methoden & Frameworks;Schriftlich fixierte Muss- und Nice-to-have-Anforderungen, die als Maßstab für die Toolauswahl dienen.;Schriftlich fixierte Muss- und Nice-to-have-Anforderungen, die als Maßstab für die Toolauswahl dienen.;Vor der Suche nach einem CRM legt ein Team fest, dass DSGVO-Konformität und eine offene API Muss-Kriterien sind.;"[""Anforderungsprofil"",""Anforderungskatalog"",""Lastenheft"",""Requirements"",""Muss- und Kann-Kriterien""]";"[""funktionsumfang-vs-anforderungen"",""toolauswahl-als-managementaufgabe"",""make-or-buy-entscheidung""]";
ampellogik;Ampellogik;A;Methoden & Frameworks;Bewertungsdarstellung mit den Stufen niedrig, mittel und hoch als rot, gelb und grün, um Ergebnisse schnell erfassbar zu machen.;Bewertungsdarstellung mit den Stufen niedrig, mittel und hoch als rot, gelb und grün, um Ergebnisse schnell erfassbar zu machen.;In einer Use-Case-Bewertung werden Vorhaben mit hohem Nutzen und geringem Aufwand grün, riskante Vorhaben rot markiert.;"[""Ampellogik"",""Ampelsystem"",""Ampeldarstellung"",""rot-gelb-grün"",""Ampelbewertung""]";"[""priorisierungsmatrix"",""risikobasierte-einstufung"",""scoring-raster""]";
anonymes-feedback-kummerkasten;Anonymes Feedback (Kummerkasten);A;Change & Organisation;Anonymer Kanal wie Briefkasten oder Webformular, über den Rückmeldungen ohne Personenbezug möglich sind.;Anonymer Kanal wie Briefkasten oder Webformular, über den Rückmeldungen ohne Personenbezug möglich sind.;Während der KI-Einführung richtet ein Unternehmen ein anonymes Webformular ein, über das Beschäftigte Sorgen zur Automatisierung melden können.;"[""anonymes Feedback"",""Kummerkasten"",""anonyme Rückmeldung"",""Feedbackkasten""]";"[""psychologische-sicherheit"",""feedback-kanaele-formell-informell"",""change-management"",""kontinuierlicher-dialog-zwei-wege-kommunikation""]";
anonymisierung-vs-pseudonymisierung;Anonymisierung vs. Pseudonymisierung;A;Recht & Regulatorik;Unterscheidung, ob der Personenbezug vollständig entfernt (anonym) oder nur ersetzt und rückführbar (pseudonym) ist.;Unterscheidung, ob der Personenbezug vollständig entfernt (anonym) oder nur ersetzt und rückführbar (pseudonym) ist.;"Vor der Analyse in einem Cloud-Tool werden Kundennamen durch Kürzel ersetzt (pseudonymisiert); für eine Veröffentlichung werden alle Merkmale unwiderruflich entfernt (anonymisiert).";"[""Anonymisierung vs. Pseudonymisierung"",""Anonymisierung / Pseudonymisierung"",""Anonymisieren und Pseudonymisieren""]";"[""dsgvo"",""datenschutz-als-querschnittsthema"",""privacy-by-design"",""us-cloud-act"",""dsgvo-grundprinzipien""]";
apa-methode;APA-Methode;A;Methoden & Frameworks;Iterative Prompt-Methode aus Plan, Analyze und Act, die die Bearbeitungsphasen einer Aufgabe steuert.;Iterative Prompt-Methode aus Plan, Analyze und Act, die die Bearbeitungsphasen einer Aufgabe steuert.;Bei der Erstellung eines Konzepts lässt ein Nutzer die KI zuerst planen, dann Optionen analysieren und erst danach den Text ausarbeiten.;"[""APA-Methode"",""APA Methode"",""Plan Analyze Act"",""APA-Vorgehen""]";"[""prompt-engineering"",""iteratives-verfeinern-nachschaerfen-im-selben-chat"",""costa-methode"",""race-raft-methode""]";
api-schnittstelle;API (Schnittstelle);A;Technik & Daten;Programmierschnittstelle, über die Anwendungen automatisiert Daten austauschen und Funktionen ansteuern.;Programmierschnittstelle, über die Anwendungen automatisiert Daten austauschen und Funktionen ansteuern.;Ein Unternehmen bindet ein Sprachmodell über dessen API in das eigene Ticketsystem ein, um Anfragen automatisch vorzusortieren.;"[""API"",""Schnittstelle"",""Application Programming Interface"",""Programmierschnittstelle"",""Anwendungsschnittstelle""]";"[""integrationsfaehigkeit"",""interoperabilitaet"",""webhook"",""connector-konnektor"",""medienbruch""]";
apify;Apify;A;Tools & Anwendungen;Dienst, der gegen Gebühr vorprogrammierte API-Verbindungen und Scraper bereitstellt, um Daten ohne eigene API abzurufen.;Dienst, der gegen Gebühr vorprogrammierte API-Verbindungen und Scraper bereitstellt, um Daten ohne eigene API abzurufen.;Ein Team nutzt Apify, um öffentlich zugängliche Produktpreise von Wettbewerberseiten regelmäßig auszulesen.;"[""Apify""]";"[""scraping"",""api-schnittstelle"",""connector-konnektor"",""datenpipeline""]";
